Index,Surname,#Awards,Education,DBLP
220,Hehner,0,"['Carleton University', 'B.Sc.', 'University of Toronto', 'M.Sc.', 'Ph.D.']",52
221,Heiser,6,"['University of Freiburg', 'Brock University', 'ETH Zurich']",130
222,Hellman,9,"['New York University', 'Stanford University']",72
223,Hendler,0,"['Yale University', 'Southern Methodist University', 'Brown University']",311
224,Hennessy,9,"['Villanova University', 'BS', 'Stony Brook University', 'MS', 'PhD']",129
225,Herbert,0,['Leeds University'],139
226,Hewitt,0,['MIT'],67
227,Hightower,0,[],4
228,Hinton,9,"['University of Cambridge', 'BA', 'University of Edinburgh']",294
229,Hirschberg,10,"['University of Pennsylvania', 'University of Michigan']",229
230,Ho,7,['Chinese University of Hong Kong'],4275
231,Hoare,7,"['University of Oxford', 'Moscow State University']",194
232,Hodes,0,"['B.S.', 'Polytechnic Institute of Brooklyn', 'Ph.D.', 'MIT']",16
233,Holland,3,['University of Michigan'],104
234,Holzmann,2,['Delft University of Technology'],149
235,Hopcroft,8,"['Seattle University', 'Stanford University']",203
236,Hopper,9,"['Vassar College', 'BA', 'Yale University', 'MS', 'PhD']",8
237,Horvitz,0,['Stanford University'],422
238,Householder,0,['University of Chicago'],12
239,Hudak,6,"['Vanderbilt University', 'B.S.', 'Massachusetts Institute of Technology', 'M.S.', 'University of Utah', 'Ph.D.']",102
240,Huffman,2,"['Ohio State University', 'Massachusetts Institute of Technology']",46
241,Hughes,3,"['University of Oxford', 'PhD']",534
242,Hui,1,"['University of Alberta', 'University of Toronto']",109
243,Humphrey,1,['United States Navy'],51
244,Hutchins,0,[],3
245,Håstad,4,"['Massachusetts Institute of Technology', 'Uppsala University', 'Stockholm University']",179
246,Ichbiah,6,[],11
247,Ierusalimschy,0,['Pontifical Catholic University of Rio de Janeiro'],73
248,Ingalls,2,"['Harvard University', 'B.A.', 'Stanford University', 'M.S.']",33
249,Irwin,3,"['University of Illinois at Urbana-Champaign', 'Memphis State University']",379
250,Iverson,4,"[""Queen's University"", 'Harvard University']",45
251,Jacobson,0,"['Chalmers Institute of Technology', 'Gothenburg', 'Royal Institute of Technology', 'Stockholm']",73
252,Jain,10,"['Indian Institute of Technology, Kanpur', 'Ohio State University']",569
253,James,0,[],1228
254,Jifeng,0,['Fudan University'],311
255,Johnson,2,"['Amherst College', 'MIT']",453
256,Jones,3,['University of Cambridge'],662
257,Jordan,5,"['University of California, San Diego']",1216
258,Joseph,2,"['Wilson College, Mumbai', 'University of Bombay', 'Welsh College of Advanced Technology', 'University of Cambridge']",51
259,Joshi,12,"['College of Engineering, Pune', 'Indian Institute of Science', 'University of Pennsylvania']",192
260,Joy,4,"['University of Michigan', 'University of California, Berkeley']",41
261,Jr.,2,"['BA', 'Harvard University', 'MS', 'PhD', 'MIT']",178
262,Jurafsky,2,"['University of California at Berkeley', '[2]']",317
263,Kaehler,0,"['Stanford University', 'B.S.', 'Carnegie Mellon University', 'MSc']",7
264,Kahan,4,['University of Toronto'],37
265,Kahn,12,"['City College of New York', 'Princeton University']",17
266,Kak,0,"['University of Madras', 'Indian Institute of Technology, Delhi']",180
267,Karger,1,"['Harvard University', 'Stanford University']",297
268,Karmarkar,11,"['IIT Bombay', 'Caltech', 'University of California, Berkeley']",22
269,Karp,10,['Harvard University'],343
270,Karpinski,0,[],349
271,Kay,3,"['University of Colorado at Boulder', 'BS', 'University of Utah College of Engineering', 'MS', 'PhD']",110
272,Kayal,8,['IIT Kanpur'],78
273,Kellis,3,['Massachusetts Institute of Technology'],46
274,Kemeny,2,['Princeton University'],11
275,Kennedy,0,"['Rice University', 'New York University']",3115
276,Kernighan,0,"['University of Toronto', 'BASc', 'Princeton University', 'PhD']",54
277,Kesselman,0,[],172
278,Khan,10,"['University of Malaya', 'COMSATS University']",119
279,Kiczales,0,['Massachusetts Institute of Technology'],69
280,Kirstein,3,"['University of Cambridge', 'Stanford University']",56
281,Kleene,2,"['Amherst College', 'Princeton University']",12
282,Klein,4,"['Cornell University', 'University of Oxford', 'Stanford University']",877
283,Kleinrock,5,"['City College of New York', 'MIT']",180
284,Knuth,14,"['Case Institute of Technology', 'BS', 'MS', 'California Institute of Technology', 'PhD']",186
285,Koenig,0,['Columbia University'],74
286,Koller,5,"['Hebrew University of Jerusalem', 'Stanford University']",264
287,Kolmogorov,7,"['Moscow State University', 'Ph.D.']",7
288,Kolodner,2,"['Brandeis University', 'Yale University']",70
289,Korn,0,[],131
290,Koster,0,['University of Amsterdam'],51
291,Kowalski,2,"['University of Chicago', 'University of Bridgeport', 'BA', 'Stanford University', 'MSc', 'University of Warsaw', 'University of Edinburgh', 'PhD']",140
292,Koza,0,[],90
293,Krogstie,0,[],261
294,Kruskal,0,"['University of Chicago', 'Princeton University']",10
295,Kruusmaa,4,"['Tallinn University of Technology', 'Chalmers University of Technology']",57
296,Kurtz,2,"['Princeton University', 'Knox College', 'mathematics']",44
297,Kölling,3,"['University of Bremen', 'University of Sydney']",119
298,Ladner,5,"[""St. Mary's College of California"", 'University of California, Berkeley']",254
299,Lam,9,['Carnegie Mellon University'],224
300,Lamport,6,"['Massachusetts Institute of Technology', 'BS', 'Brandeis University', 'MA', 'PhD']",173
301,Lampson,6,"['Harvard University', 'University of California, Berkeley']",82
302,Landin,0,"['Clare College', 'Cambridge University']",40
303,Lane,0,"['Carnegie Mellon University', 'Ph.D.']",86
304,Langefors,0,['Stockholm University'],9
305,Lattner,2,"['University of Portland', 'University of Illinois at Urbana-Champaign']",14
306,Lawrence,8,[],350
307,Lazowska,0,"['Brown University', 'University of Toronto']",107
308,LeCun,3,"['ESIEE Paris', 'MS', 'Pierre and Marie Curie University', 'PhD']",345
309,Lederberg,3,"['Stuyvesant High School', 'Columbia University', 'Yale University']",6
310,Leiserson,0,"['Carnegie Mellon University', 'Yale University']",136
311,Lenat,2,"['University of Pennsylvania', 'Stanford University']",65
312,Lerdorf,0,['University of Waterloo'],5
313,Levin,2,"['Moscow University', 'Massachusetts Institute of Technology']",96
314,Leyton-Brown,1,"['McMaster University', 'Stanford University']",195
315,Licklider,0,"['Washington University in St. Louis', 'University of Rochester']",0
316,Liddle,0,[],57
317,Liedtke,0,"['Bielefeld University', 'Technical University of Berlin']",39
318,Lindsey,0,[],17
319,Lions,0,"['University of Sydney', 'University of Cambridge']",10
320,Lipton,2,['Carnegie Mellon'],236
321,Liskov,3,"['University of California, Berkeley', 'Stanford University']",163
322,Liu,0,"['Cornell University', 'Tsinghua University', 'Peking University']",389
323,Long,2,"['San Diego State University', 'University of California, San Diego']",217
324,Lopez,1,['New Mexico State University'],274
325,Lovegrove,0,"['Newnham College, Cambridge', 'Cambridge University']",7
326,Luckham,0,"['Ph.D.', 'MIT']",53
327,Luks,3,[],41
328,Lynch,7,"['Brooklyn College', 'MIT']",389
329,Maibaum,1,"['B.Sc.', 'University of Toronto', 'Ph.D.', 'University of London']",200
330,Manna,4,"['Technion – Israel Institute of Technology', 'Carnegie Mellon University']",190
331,Marlow,2,"['University of Glasgow', 'University of Bristol']",49
332,Martin,0,[],5384
333,Mashey,0,[],18
334,Matiyasevich,3,['Leningrad State University'],46
335,Matsumoto,0,"['University of Tsukuba', 'Shimane University']",22
336,Mauchly,3,['Johns Hopkins University'],4
337,Maulik,11,"['Nabadwip Bakultala High School', 'Calcutta University', 'Jadavpur University']",212
338,McAuley,1,['University of Cambridge'],86
339,McCallum,1,"['Dartmouth College', 'University of Rochester', '[2]']",420
340,McCarthy,6,"['Princeton University', 'California Institute of Technology']",300
341,McIlroy,3,"['Cornell University', 'Massachusetts Institute of Technology']",26
342,McKinstry,0,[],5
343,McKusick,0,"['University of California, Berkeley']",40
344,Meertens,2,[],33
345,Mehlhorn,4,"['Cornell University', '[2]']",449
346,Meyer,3,"['Université de Nancy', 'Stanford University', 'École Polytechnique']",367
347,Micali,3,"['La Sapienza University of Rome', 'UC Berkeley']",168
348,Milner,5,[],108
349,Minker,2,"['Brooklyn College', 'University of Wisconsin', 'University of Pennsylvania']",156
350,Minsky,6,"['Harvard University', 'BA', 'Princeton University', 'MA', 'PhD']",33
351,Mitchell,2,"['University of Waterloo', 'Carnegie Mellon University']",365
352,Mockapetris,4,"['Massachusetts Institute of Technology', 'University of California at Irvine']",13
353,Moler,2,"['California Institute of Technology', 'Stanford University']",24
354,Moller,0,"['University of British Columbia', 'University of Waterloo', 'University of Edinburgh']",77
355,Moon,0,['Pennsylvania State University'],334
356,Moore,0,[],173
357,Moravec,0,"['Acadia University', '[1]', 'University of Western Ontario', '[1]', 'Stanford University', '[1]']",18
358,Morgan,0,"['Ph.D.', 'University of Sydney']",132
359,Morris,0,"['Harvard University ', 'Cornell University']",637
360,Moses,0,"['BA', 'MA', 'Columbia University', 'PhD', 'mathematics', 'MIT']",28
