Unnamed: 0,Surname,#Awards,Education,DBLP
191,Fu,6,[],528
192,Fukushima,1,['Kyoto University'],91
193,Fulkerson,5,"['Southern Illinois University', 'University of Wisconsin–Madison']",0
194,Gabriel,2,"['Northeastern University', 'Massachusetts Institute of Technology', 'University of Illinois', 'Stanford University', 'Warren Wilson College']",415
195,Galil,3,"['Tel Aviv University', 'BSc', 'MSc', 'Cornell University', 'PhD']",199
196,Galler,0,"['University of Chicago', 'UCLA']",57
197,García-Molina,3,"['Monterrey Institute of Technology and Higher Education', 'BS', 'Stanford University', 'MS', 'PhD']",468
198,Garey,0,['University of Wisconsin–Madison'],63
199,Garis,0,[],95
200,Gates,4,['Harvard University'],9
201,Gelernter,3,"['Yale University', 'BA', 'State University of New York at Stony Brook', 'PhD']",68
203,Geschke,3,"['Xavier University', 'AB', 'MS', 'Carnegie Mellon University', 'PhD']",11
204,Ghahramani,3,"['University of Pennsylvania', 'Massachusetts Institute of Technology']",322
205,Ghemawat,1,"['Cornell University', 'MIT']",28
206,Gibbons,0,"['University of Edinburgh', 'B.Sc.', 'University of Oxford', 'D.Phil.']",162
207,Gilbert,1,"['Miami University', 'University of Cincinnati']",228
208,Giles,7,"['Rhodes College', 'University of Tennessee', 'University of Michigan', 'University of Arizona']",591
209,Ginsburg,0,"['City College of New York', 'University of Michigan']",117
210,Glass,0,[],486
211,Gödel,3,"['University of Vienna', 'PhD']",4
212,Goel,3,['Ohio State University'],266
213,Goguen,0,"['Harvard University', 'University of California, Berkeley']",137
214,Gold,0,[],0
215,Goldberg,0,"['University of Michigan', 'University of Chicago']",154
216,Goldberg,2,"['Massachusetts Institute of Technology', 'University of California, Berkeley']",154
217,Goldberg,0,"['University of California, Berkeley', 'University of Waterloo']",154
218,Goldsmith,0,[],166
219,Goldreich,2,"['Technion', 'Weizmann Institute']",526
220,Goldwasser,11,"['Carnegie Mellon University', 'University of California, Berkeley']",234
221,Golub,0,['University of Illinois at Urbana-Champaign'],118
222,Golumbic,0,[],110
223,Gonnet,1,['University of Waterloo'],102
224,Goodfellow,0,"['Stanford University', 'Université de Montréal']",110
225,Gosling,7,"['University of Calgary', 'BSc', 'Carnegie Mellon University', 'MA', 'PhD']",15
226,Graham,0,"['Cornell University', 'Harvard University']",111
227,Graham,0,[],111
228,Graham,5,"['Harvard', 'Stanford']",111
229,Gray,2,"['University of California, Berkeley']",243
230,Greibach,0,"['Radcliffe College', 'Harvard University']",77
231,Gries,4,"['B.S.', 'Queens College', 'M.S.', 'University of Illinois at Urbana-Champaign', 'Dr. rer. nat.', 'Technical University of Munich']",158
232,Griswold,0,[],47
233,Gropp,2,['Stanford University'],310
234,Gruber,0,['Loyola University New Orleans'],43
236,Guha,16,"['Indian Institute of Technology Madras', 'University of California, Berkeley', 'Stanford University']",44
237,Gunther,9,"['La Trobe University', 'University of Southampton']",59
