Index,Surname,#Awards,Education,DBLP
472,Ross,3,"['Oberlin College', 'B.Sc.', 'Massachusetts Institute of Technology', 'M.Sc.']",138
473,Rossum,2,['University of Amsterdam'],14
474,Rothman,0,['United States Patent and Trademark Office'],0
475,Rozenberg,10,['Polish Academy of Sciences'],615
476,Rucker,0,"['St. Xavier High School', 'Swarthmore College', 'BA', 'Rutgers University', 'MS', 'PhD']",5
477,Rudich,1,[],40
478,Rulifson,25,"['University of Washington', 'Stanford University']",6
479,Rumbaugh,0,[],50
480,Ružička,4,['Comenius University in Bratislava'],48
481,Sadowsky,0,['Harvard University'],2
482,Sadrzadeh,0,"['Université du Québec à Montréal', 'Sharif University of Technology']",119
483,Saif,0,"['Lahore University of Management Sciences', 'University of Cambridge', 'Massachusetts Institute of Technology']",54
484,Salton,6,"['Brooklyn College', 'Harvard University']",183
485,Sammet,3,"['Mount Holyoke College', 'B.A.', 'University of Illinois at Urbana Champaign', 'M.A.', 'Columbia University']",56
486,Sammut,0,[],133
487,Satyanarayanan,5,"['Carnegie Mellon University (Ph.D.)', 'IIT Madras (M.Tech., B.Tech.)']",220
488,Savitch,0,"['University of California, Berkeley']",32
489,Schaeffer,2,"['University of Waterloo', 'University of Toronto']",278
490,Schmidhuber,0,['Technical University of Munich'],462
491,Schneider,0,['University of Oxford'],230
492,Schneider,5,['Stony Brook University'],230
493,Schneier,0,"['American University', 'University of Rochester']",164
494,Schoenebeck,6,"['Georgia Institute of Technology', 'University of California, Berkeley', 'Dartmouth College']",78
495,Schölkopf,10,"['University of London', 'University of Tübingen', 'TU Berlin']",869
496,Scott,0,[],2124
497,Scott,6,"['UC Berkeley', 'Princeton University']",2124
498,Sedgewick,4,['Brown University'],100
499,Sethi,0,"['Indian Institute of Technology, Kanpur', 'Princeton University']",93
500,Shadbolt,2,"['Newcastle University', 'University of Edinburgh']",338
501,Shamir,6,"['Tel Aviv University', 'Weizmann Institute of Science']",294
502,Shannon,10,"['University of Michigan', 'AB', 'BS', 'Massachusetts Institute of Technology', 'MS', 'PhD']",26
503,Shaw,0,[],35
504,Shaw,0,"['University of California, San Diego', 'BS', 'Stanford University', 'MS', 'PhD']",35
505,Shekhar,28,"['University of California, Berkeley']",375
506,Shenker,5,"['Brown University', 'University of Chicago']",370
507,Shneiderman,3,"['City College of New York', 'Stony Brook University']",502
508,Shortliffe,0,"['Harvard University', 'Stanford University']",121
509,Siewiorek,4,"['University of Michigan', 'B.A.', 'Stanford University', 'M.A.', 'Ph.D.']",270
510,Sifakis,2,"['National Technical University of Athens', 'University of Grenoble']",240
511,Simon,10,['University of Chicago'],172
512,Singh,5,"['University of Texas at Austin', 'Indian Institute of Technology Delhi']",473
513,Sitaraman,0,"['Indian Institute of Technology, Madras', '[2]', 'Princeton University', '[2]']",159
514,Sleator,2,"['University of Illinois at Urbana–Champaign', 'Stanford University']",42
515,Sloman,0,[],69
516,Smith,0,['MIT'],2330
517,Smith,1,"['Oberlin College', 'Stanford University']",2330
518,Spewak,0,['Case Western Reserve University'],2
519,Spradling,0,['University of Nebraska - Lincoln'],9
520,Sproull,0,"['Deep Springs College', 'Cornell University']",34
521,Srihari,0,"['University of Waterloo', 'University at Buffalo']",282
522,Srihari,3,"['Bangalore University', 'Indian Institute of Science', 'Ohio State University']",282
523,Stachowiak,0,"['Course 6 - Electrical Engineering and Computer Science', 'S.B.', 'M.Eng.']",5
524,Stallman,5,"['Harvard University', 'BS', 'Massachusetts Institute of Technology']",13
525,Stamper,0,['United Kingdom'],28
526,Stearns,2,"['Carleton College', 'Princeton University']",106
527,Stepanov,0,[],47
528,Sterling,6,"['Old Dominion University', 'Massachusetts Institute of Technology']",133
529,Stevens,0,"['University of Michigan', 'University of Arizona']",0
530,Stockmeyer,0,[],86
531,Stolfo,0,[],180
532,Stonebraker,2,"['Princeton University', 'University of Michigan']",425
533,Storaasli,0,['University of Edinburgh'],3
534,Strachey,0,['University of Cambridge'],17
535,Strassen,8,['University of Göttingen'],21
536,Stroustrup,11,"['Aarhus University', 'Cand.scient.', 'University of Cambridge', 'PhD']",78
537,Sudan,2,"['IIT Delhi', 'University of California, Berkeley']",350
538,Sussman,2,"['SB', 'PhD']",38
539,Sutherland,1,"['RPI', 'MIT']",49
540,Sutherland,8,"['MIT', 'Caltech', 'Carnegie Institute of Technology']",49
541,Sweeney,0,"['Harvard University', 'ALB', 'MIT', 'SM', 'PhD']",49
542,Szegedy,2,['University of Chicago'],119
543,Sølvberg,0,[],50
544,Tabriz,0,['University of Illinois at Urbana–Champaign'],8
545,Tamassia,4,[],305
546,Tanenbaum,22,"['Massachusetts Institute of Technology', 'University of California, Berkeley']",214
547,Tardos,5,['Eötvös Loránd University'],150
548,Tardos,4,['Eötvös Loránd University'],150
549,Tarjan,3,"['California Institute of Technology', 'BS', 'Stanford University', 'MS', 'PhD']",349
550,Tate,2,"['Lancaster University', 'University of Edinburgh']",63
551,Taylor,5,"['Purdue University', 'University of California at Berkeley']",119
552,Teevan,7,"['Yale University', 'BS', 'Massachusetts Institute of Technology', 'PhD']",145
553,Tesler,0,['Stanford University'],10
554,Thacker,3,"['University of California, Berkeley']",15
555,Thalheim,4,"['Dresden University of Technology', 'Lomonosov Moscow State University']",383
556,Thalmann,4,['University of Geneva'],592
557,Thalmann,2,"['University of Geneva', 'École Polytechnique Fédérale de Lausanne']",592
558,Thompson,9,"['University of California, Berkeley']",170
559,Thrun,3,"['University of Bonn', 'University of Hildesheim']",328
560,Tichy,0,"['Technische Universität München', 'Carnegie Mellon University']",207
561,Toda,0,[],41
562,Torvalds,3,"['University of Helsinki', '[2]']",2
563,Toussaint,11,['University of Tulsa'],212
564,Townsend,2,['Indiana University'],42
565,Tozer,0,[],3
566,Traub,0,[],102
567,Tucker,0,['University of Warwick'],182
568,Tukey,7,"['Brown University', 'Princeton University']",11
569,Turing,2,"['University of Cambridge', 'BA', 'MA', 'Princeton University']",22
570,Turner,0,"['D.Phil.', 'University of Oxford']",361
571,Turoff,1,"['University of California - Berkeley', 'Brandeis University']",135
572,Ullman,4,"['Columbia University', 'Princeton University']",343
573,Valiant,6,"['University of Cambridge', 'Imperial College London', 'University of Warwick']",119
574,Vapnik,11,"['Institute of Control Sciences, Russian Academy of Sciences', 'Uzbek State University']",85
575,Vardi,7,"['Bar-Ilan University', 'Weizmann Institute of Science', '[4]', 'Hebrew University of Jerusalem']",772
576,Vauquois,0,['Ph.D.'],12
577,Vazirani,2,"['MIT', 'University of California, Berkeley']",112
578,Veloso,3,"['Instituto Superior Técnico', 'University of Lisbon', 'Boston University', 'Carnegie Mellon University']",626
579,Vernadat,0,['University of Clermont'],97
580,Veryard,0,['Open University'],8
581,Vilkomir,4,"['Kharkov State University', 'Kharkov Polytechnic Institute']",39
582,Viterbi,8,"['Massachusetts Institute of Technology', 'BS', 'MS', 'University of Southern California', 'PhD']",51
583,Vitter,0,"['University of Notre Dame', 'BS', 'Duke University', 'MBA', 'Stanford University', 'PhD']",307
584,Vitányi,8,"['Delft University of Technology', 'Free University of Amsterdam']",254
585,Vixie,0,['Keio University'],35
586,Wada,0,['University of Tokyo'],7
587,Wadler,4,"['Stanford University', 'Carnegie Mellon University']",169
588,Wagner,0,[],637
589,Waltz,2,['Massachusetts Institute of Technology'],60
590,Wang,2,"['Stanford University', 'M.S.', 'M.S.', 'Ph.D.', 'University of Minnesota', 'B.S.']",2841
591,Ward,0,[],142
592,Warmuth,3,"['University of Colorado, Boulder']",241
593,Warren,0,['University of Edinburgh'],598
594,Warwick,4,"['Aston University', 'Imperial College London']",120
595,Wegner,2,['[1]'],154
596,Wegstein,0,"['University of Illinois', 'B.S.', 'M.S.']",12
597,Weinberger,0,"['University of California, Berkeley']",20
598,Weiser,0,['University of Michigan'],69
599,Weizenbaum,0,['Wayne State University'],19
600,Westervelt,0,[],2
601,Wheeler,3,['University of Cambridge'],208
602,Whittaker,3,[],205
603,Widom,6,"['Cornell University', 'Indiana University Jacobs School of Music']",218
604,Wiederhold,3,"['University of California, San Francisco']",204
605,Wiener,2,"['Tufts College', 'BA', 'Cornell University', 'MA', 'Harvard University', 'PhD']",5
606,Wijngaarden,2,['Delft University of Technology'],48
607,Wilkes,0,"['Wellesley College', 'Harvard Law School']",84
608,Wilkes,5,['University of Cambridge'],84
609,Wilkinson,3,"['Trinity College, Cambridge']",69
610,Wilks,1,['University of Cambridge'],199
611,Wilson,6,"['Selwyn College, Cambridge', 'University of Cambridge']",17
612,Winograd,1,"['Colorado College', 'Massachusetts Institute of Technology']",117
613,Winograd,0,"['New York University', 'Massachusetts Institute of Technology']",117
614,Winston,1,"['MIT', '[1]']",55
615,Wirth,5,"['BS', 'MSc', 'Université Laval', 'University of California, Berkeley']",92
616,Wiseman,0,"['University of Cambridge', 'University of Illinois', 'Queen Mary College']",28
617,Wolfram,2,"[""St. John's College, Oxford"", 'California Institute of Technology']",51
618,Woodward,3,['Oxford University'],26
619,Worsley,3,"['University of Toronto', 'Massachusetts Institute of Technology', 'University of Cambridge']",2
620,Wozniak,13,"['University of Colorado Boulder', 'De Anza College', 'University of California, Berkeley', 'BS', '[3]']",13
621,Wu,0,[],6947
622,Wulf,0,"['University of Illinois Urbana-Champaign', 'University of Virginia']",149
623,Węglarz,0,['Poznań University of Technology'],72
624,Yannakakis,2,"['National Technical University of Athens', 'Princeton University']",290
625,Yao,4,"['National Taiwan University', 'Harvard University', 'University of Illinois at Urbana–Champaign']",444
626,Yen,2,"['University of California, Berkeley', 'Santa Clara University', 'National Taiwan University', 'National Hsinchu Senior High School']",414
627,Yourdon,1,['Massachusetts Institute of Technology'],18
628,Yung,6,['Columbia University'],604
629,Zadeh,12,"['University of Tehran', 'Massachusetts Institute of Technology', 'Columbia University']",195
630,Zaman,0,"['Stanford University', '[2]', 'Harvey Mudd College', 'Claremont Graduate University']",35
631,Zantema,0,['University of Amsterdam'],118
632,Zdonik,0,['Massachusetts Institute of Technology'],194
